;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10\AV13,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10\AV14,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10\AV15,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10\AV16,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A10_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A20,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A20_PLC5D,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A30,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A30_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A40,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A40_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A50_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A50_TCR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A60,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A60_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A70,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A70_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A75,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A75_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A78_HMC,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A80,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A80_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A90,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,A90_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\D17,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AAY\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D08,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\D09,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
