;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C59,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\A01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\A02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\A03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SD11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SD12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SNPM01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SNPM02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SSPM01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SSPM02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SV11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\SV12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\U01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_CPS\U02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\A01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\A02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\A03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\SD13,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\SD14,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\SV13,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\SV14,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\U01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S06_LES\U02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S20_S20,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S24_TCH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S26_TCH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S28_TCH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\ALL_EMERGENCY,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\ALL_NORMAL,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\COLD_SMOKE_PURGE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-09,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-13,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,S40_TCR\FCP-15,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
