;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\MV31,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\MV32,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\MV33,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\MV34,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV31,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV32,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV33,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV34,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV51,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30\SV52,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M30_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\FIRE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV41,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV42,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV43,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV44,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV45,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\MV46,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV19,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV20,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV21,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV22,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV23,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV24,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV25,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV26,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV31,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV32,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV33,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV34,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV41,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV42,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV43,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV44,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV51,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV52,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV53,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV54,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,M40\SV6,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
