    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
------------+-------+-------+---------------------------+-----------------------------------------------------+---------------------------+-----------------------
 A30-ACO-DN |    17 |     0 | CIRCUIT_BREAKER           | ACOH01                                              | CIRCUIT_BREAKER_IND       | ABNORMAL
 A30-ACO-DN |    18 |     0 | CIRCUIT_BREAKER           | ACOH01                                              | CIRCUIT_BREAKER_IND       | NON_INDICATING
 A30-ACO-DN |    19 |     0 | CIRCUIT_BREAKER           | ACOH01                                              | CIRCUIT_BREAKER_IND       | TRIPPED
 A30-ACO-DN |    20 |     0 | CIRCUIT_BREAKER           | ACOH01                                              | CIRCUIT_BREAKER_IND       | CLOSED
 A30-ACO-DN |    21 |     6 | CIRCUIT_BREAKER           | ACOH02                                              | CIRCUIT_BREAKER_IND       | ABNORMAL
 A30-ACO-DN |    22 |     6 | CIRCUIT_BREAKER           | ACOH02                                              | CIRCUIT_BREAKER_IND       | NON_INDICATING
 A30-ACO-DN |    23 |     6 | CIRCUIT_BREAKER           | ACOH02                                              | CIRCUIT_BREAKER_IND       | TRIPPED
 A30-ACO-DN |    24 |     6 | CIRCUIT_BREAKER           | ACOH02                                              | CIRCUIT_BREAKER_IND       | CLOSED
 A30-ACO-DN |    25 |    65 | CIRCUIT_BREAKER           | ACOD01                                              | CIRCUIT_BREAKER_IND       | ABNORMAL
 A30-ACO-DN |    26 |    65 | CIRCUIT_BREAKER           | ACOD01                                              | CIRCUIT_BREAKER_IND       | NON_INDICATING
 A30-ACO-DN |    27 |    65 | CIRCUIT_BREAKER           | ACOD01                                              | CIRCUIT_BREAKER_IND       | TRIPPED
 A30-ACO-DN |    28 |    65 | CIRCUIT_BREAKER           | ACOD01                                              | CIRCUIT_BREAKER_IND       | CLOSED
 A30-ACO-DN |    29 |    75 | CIRCUIT_BREAKER           | ACOD02                                              | CIRCUIT_BREAKER_IND       | ABNORMAL
 A30-ACO-DN |    30 |    75 | CIRCUIT_BREAKER           | ACOD02                                              | CIRCUIT_BREAKER_IND       | NON_INDICATING
 A30-ACO-DN |    31 |    75 | CIRCUIT_BREAKER           | ACOD02                                              | CIRCUIT_BREAKER_IND       | TRIPPED
