Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"CL01","100093",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL CL01 DE-ENERGIZED",
"CL02","100140",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL CL02 DE-ENERGIZED",
"CR01","100069",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL CR01 DE-ENERGIZED",
"CR02","100152",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL CR02 DE-ENERGIZED",
"KMAD01_CLOSE","000005",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_1_CLOSE_CMD",
"KMAD01_CLOSED","100038",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_1_CLOSED",
"KMAD01_OPEN","000006",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_1_OPEN_CMD",
"KMAD01_OPENED","100039",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_1_OPENED",
"KMAD02_CLOSE","000009",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_2_CLOSE_CMD",
"KMAD02_CLOSED","100050",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_2_CLOSED",
"KMAD02_OPEN","000010",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_2_OPEN_CMD",
"KMAD02_OPENED","100051",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_2_OPENED",
"KMAD03_CLOSE","000011",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_3_CLOSE_CMD",
"KMAD03_CLOSED","100062",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_3_CLOSED",
"KMAD03_OPEN","000012",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_3_OPEN_CMD",
"KMAD03_OPENED","100063",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_3_OPENED",
"KMAD04_CLOSE","000013",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_4_CLOSE_CMD",
"KMAD04_CLOSED","100075",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_4_CLOSED",
"KMAD04_OPEN","000014",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_4_OPEN_CMD",
"KMAD04_OPENED","100076",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_4_OPENED",
"KMAD05_CLOSE","000015",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_5_CLOSE_CMD",
"KMAD05_CLOSED","100086",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_5_CLOSED",
"KMAD05_OPEN","000016",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_5_OPEN_CMD",
"KMAD05_OPENED","100087",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_5_OPENED",
"KMAD06_CLOSE","000017",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_6_CLOSE_CMD",
"KMAD06_CLOSED","100099",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_6_CLOSED",
"KMAD06_OPEN","000018",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_6_OPEN_CMD",
"KMAD06_OPENED","100100",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_6_OPENED",
"KMAD07_CLOSE","000019",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_7_CLOSE_CMD",
"KMAD07_CLOSED","100111",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_7_CLOSED",
"KMAD07_OPEN","000020",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_7_OPEN_CMD",
"KMAD07_OPENED","100112",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_7_OPENED",
"KMAD08_CLOSE","000021",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_8_CLOSE_CMD",
"KMAD08_CLOSED","100123",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_8_CLOSED",
"KMAD08_OPEN","000022",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_8_OPEN_CMD",
"KMAD08_OPENED","100124",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_8_OPENED",
"KMAD09_CLOSE","000023",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_9_CLOSE_CMD",
"KMAD09_CLOSED","100134",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_9_CLOSED",
"KMAD09_OPEN","000024",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_9_OPEN_CMD",
"KMAD09_OPENED","100135",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_9_OPENED",
"KMAD10_CLOSE","000025",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_10_CLOSE_CMD",
"KMAD10_CLOSED","100146",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_10_CLOSED",
"KMAD10_OPEN","000026",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_10_OPEN_CMD",
"KMAD10_OPENED","100147",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_10_OPENED",
"KMAD11_CLOSE","000027",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_11_CLOSE_CMD",
"KMAD11_CLOSED","100158",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_11_CLOSED",
"KMAD11_OPEN","000028",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_11_OPEN_CMD",
"KMAD11_OPENED","100159",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_11_OPENED",
"KMAD12_CLOSE","000007",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_12_CLOSE_CMD",
"KMAD12_CLOSED","100044",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_12_CLOSED",
"KMAD12_OPEN","000008",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_172_12_OPEN_CMD",
"KMAD12_OPENED","100045",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_172_12_OPENED",
"KMAH01_CLOSE","000001",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_1_CLOSE_CMD",
"KMAH01_CLOSED","100176",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_1_CLOSED",
"KMAH01_OPEN","000002",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_1_OPEN_CMD",
"KMAH01_OPENED","100177",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_1_OPENED",
"KMAH02_CLOSE","000003",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_2_CLOSE_CMD",
"KMAH02_CLOSED","100182",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_2_CLOSED",
"KMAH02_OPEN","000004",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_2_OPEN_CMD",
"KMAH02_OPENED","100183",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_2_OPENED",
"MDI_164A_TRP","100022",Boolean,1,RO,1000,,,,,,,,,,"KMA SWGR ENCLOSURE ALIVE",
"MDI_164G_ALM","100021",Boolean,1,RO,1000,,,,,,,,,,"KMA SWGR ENCLOSURE GROUNDED",
